Graph Size,Runtime (milliseconds)
1561,15430.796355
1562,15372.311214
1563,15478.276243
1564,15507.505827
1565,15500.556027
1566,15587.135312
1567,15538.137222
1568,15595.751996
1569,15643.280649
1570,15655.75042
1571,15684.124593
1572,15610.68197
1573,15752.746259
1574,15744.856014
1575,15754.048606
1576,15865.043366
1577,15802.10491
1578,15873.726594
1579,15874.424664
1580,15977.912723
1581,15913.135068
1582,15913.559316
1583,15951.166302
1584,15968.393624
1585,15996.153614
1586,16054.883327
1587,16068.248984
1588,16111.495047
1589,16137.300284
1590,16100.456584
1591,16197.996238
1592,16195.826791
1593,16346.993028
1594,16194.749909
1595,16331.153558
1596,16345.942879
1597,16377.776334
1598,16504.091291
1599,16359.53384
1600,16541.531177
1601,16465.730499
1602,16454.025336
1603,16516.88415
1604,16549.657951
1605,16667.780627
1606,16617.307073
1607,16705.633634
1608,16620.87179
1609,16642.21622
1610,16717.355758
1611,16730.098423
1612,16757.74037
1613,16710.617309
1614,16734.665308
1615,16788.181852
1616,16864.80689
1617,16857.916311
1618,16918.38807
1619,16870.219371
1620,16959.577743
1621,16966.227138
1622,17046.024099
1623,17113.30173
1624,16935.173379
1625,17105.997979
1626,17115.979235
1627,17147.128366
1628,17234.833233
1629,17271.20822
1630,17258.636709
1631,17175.711444
1632,17179.400484
1633,17274.790645
1634,17340.765807
1635,17371.439079
1636,17375.633057
1637,17435.899827
1638,17669.814876
1639,17526.552769
1640,17443.090603
1641,17546.300551
1642,17539.270687
1643,17494.767945
1644,17589.143643
1645,17630.769372
1646,17622.670652
1647,17621.474946
1648,17704.35974
1649,17808.257532
1650,17719.350987
1651,17802.481428
1652,17845.11361
1653,17846.696881
1654,17954.296283
1655,17868.026174
1656,17880.782401
1657,17954.119833
1658,18079.278853
1659,18013.151999
1660,18070.810908
1661,18145.449476
1662,18067.053179
1663,18075.653764
1664,18123.073681
1665,18205.537885
1666,18276.754435
1667,18314.411297
1668,18274.63219
1669,18393.593388
1670,18333.810166
1671,18394.377602
1672,18434.665156
1673,18446.378938
1674,18520.633693
1675,18422.356597
1676,18573.816136
1677,18551.327079
1678,18574.078264
1679,18576.613599
1680,18664.867036
1681,18611.412611
1682,18919.163175
1683,19191.582188
1684,18895.017729
1685,19006.07674
1686,18807.173343
1687,18940.287948
1688,18908.257929
1689,18917.019256
1690,18918.74434
1691,19013.473256
1692,18955.023543
1693,19128.330339
1694,19077.671373
1695,19085.80965
1696,19205.108931
1697,19087.601463
1698,19204.344375
1699,19236.581619
1700,19222.341219
1701,19235.765877
1702,19391.894716
1703,19333.761613
1704,19425.493751
1705,19445.426247
1706,19458.047654
1707,19766.256099
1708,19436.168988
1709,19417.531535
1710,19551.359528
1711,19578.112152
1712,19538.688333
1713,19640.376344
1714,19707.396141
1715,19744.324866
1716,19790.456587
1717,19703.028346
1718,19797.231934
1719,19851.008673
1720,19823.920723
1721,19755.883812
1722,19868.214134
1723,19800.833328
1724,19889.831802
1725,19916.733101
